COUNTRY|Updated on|Response
Australia|2020-04-02|"The Public Health Laboratory Network (PHLN), a standing committee of the Australian Health Protection Principal Committee (AHPPC), is Australia’s leading network of expert microbiologists. This group is comprised of public health laboratory representatives from each state and territory of Australia. They meet weekly to provide advice, share information and support other laboratories, such as hospital, community and private pathology providers, when issues arise. So far, the Australian Government has funded or will fund the following R&D initiatives in response to the COVID-19 pandemic:

- $15 million to fast-track research into treatments from the Medical Research Future Fund (MRFF) (https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/fast-tracking-research-into-treatments-for-covid-19) via three open competitive grant opportunities: 
o $8 million to identify and develop antiviral therapies for people infected with COVID-19 ($3 million will initially be provided to test up to 10 antiviral therapies to test proof of concept; a further $5 million then available for rapid advancement of the most promising candidates).
o $5 million for clinical trials to better treat and manage COVID-19 patients with severe acute respiratory distress. 
o $2 million to support research into development of a vaccine to protect against novel coronavirus (COVID-19).

- More than $2.6 million in cutting-edge diagnostics research at the Peter Doherty Institute for Infection and Immunity. (https://www.health.gov.au/ministers/the-hon-greg-hunt-mp/media/26-million-for-coronavirus-research-including-a-new-simpler-australian-pathology-test)

On 22 March 2020, a funding injection of up to $17 million (https://stories.uq.edu.au/news/2020/17m-shot-in-the-arm-for-uq-covid-19-vaccine-research/index.html) was announced for vital University of Queensland research that could help cut the timeline for an effective vaccine for COVID-19 by six months:
• the Queensland Government will allocate $10 million
• the Australian Government has pledged $3 million to the project led by UQ’s School of Chemistry and Molecular Biosciences. 
• the Paul Ramsay Foundation has provided a grant of $3.5 million to the University of Queensland, conditional upon the University of Queensland securing another $6.5 million to reach a total of $20 million from government and other sources.

The Australian Government will invest $30 million for COVID–19 research to enable Australian researchers to contribute to global efforts to control the outbreak. Three research areas, in line with the priorities agreed at the recent Coronavirus Research Roundtable, are vaccine development, anti-viral development and respiratory medicine research

The Therapeutic Goods Administration (TGA) is fast tracking (i.e. accelerating) regulatory assessment for applications for a therapeutic good related to COVID-19. In some cases, for example point of care tests, due to limited information at the time of application, regulatory approval is granted, with strict conditions that follow-up data and studies including stability shelf-life is provided to the TGA.  In addition, a number of exemptions for complying with normal regulatory processes and approvals are in place to facilitate faster access and supply for some tests and PPE medical devices. 
• Therapeutic Goods (Medical Devices—Accredited Pathology Laboratories) (COVID-19 Emergency) Exemption 2020 (F2020N00032);(https://www.legislation.gov.au/Details/F2020N00032/Download)  and
• Therapeutic Goods (Medical Devices—Face Masks and Other Articles) (COVID-19 Emergency) Exemption 2020 (F2020N00033).(https://www.legislation.gov.au/Details/F2020N00033/Download) 

See: https://www.tga.gov.au/legal-supply-covid-19-diagnostic-tests

The National Health and Medical Research Council (NHMRC) funds a Centre of Research Excellence dedicated to emergency pandemic response – the Australian Partnership for Preparedness Research on Infectious Disease Emergencies (APPRISE). Funding for this network is AUD$5 million over 5 years from 2016 to 2021 (see: https://www.apprise.org.au/). APPRISE is supporting 16 urgent research projects covering areas such as diagnostics, treatment and communication in response to COVID-19. It is joining forces with the NHMRC Centre of Research Excellence in Emerging Infectious Diseases (CREID), to support the national collaborative projects designed to fill areas of critical research need and improve Australia’s emergency response to COVID-19. 
"
Austria|2020-04-03|"A dedicated Joint Call for COVID-19 with a volume of € 21 Mio. from the two Austrian Federal Ministries,the Ministry of Digitalisation and Economy together with the Ministry for Climate Action, Environment, Mobility, Innovation and Technology  was launched in March to support applied research on tests, vaccines and medication against COVID-19 Mio. See https://www.ffg.at/ausschreibung/emergencycall-covid-19. The Federal Ministry of Education, Science and Research is supporting its Medical Universities to participate in medical trials with an extra € 2 Mio.

The Austrian Science Fund (FWF) has introduced fast track approval for COVID-19 relevant research.

The Austrian authorities treat all applications for medical trials preferentially in order to grant approval as fast as possible.

Additionally,  Austrian research groups successfully participate in the special Horizon 2020 call at the European level.
"
Belgium|2020-05-13|"Flanders regional measures: https://stiplab.github.io/Covid19/files/innovation_in_flanders_to_combat_the_sars-cov-2_virus_or_its_derived_effects_-_11_may_2020.pdf
Wallonia regional measures: http://stiplab.github.io/Covid19/files/2020-05-08_COVID-19_-_Cadastre_RI_COVID19_EN.pdf

In the last two weeks, we have seen in Belgium numerous initiatives to respond to the Covid-19 crisis. However, these are mainly bottom-up. Everywhere around the country, research groups in all universities and in research centres, as well as in companies, have reallocated budgets to address different issues. 

One example is the case of the Vlaams Instituut voor Biotechnologie (VIB) that announced the reallocation of about 1 million Euro of its budgets for its Grand Challenges Programme to COVID-19 projects.

In the region of Wallonia, the BioWin cluster (active in the field of health biotechnology and medical technologies) has developed an interactive platform for centralization of health initiatives related to COVID-19 around 6 urgent themes: manufacturing, supply and recycling of masks for companies; development and repair of ventilators; development and manufacturing of hydroalcoholic gels; development and manufacturing of new diagnostic approaches; development of new treatments; and new sources of funding  (https://www.biowin.org/en/news/covid-19-join-biowins-cooperation-platform).

Another example is the case of ITM (Institute of Tropical Medicine) experts who joined colleagues of the Catholic University of Leuven (KU Leuven) to set up an epidemiological database. 

Also the Young Academy (an interdisciplinary and inter-university group of top young researchers and artists in Flanders) launched a number of initiatives to join forces among scientists from all disciplines, including coordination on the production of ventilation equipment and the collection of initiatives in a Slack-environment for scientists.
"
Brazil|2020-04-03|"The Ministry of Science, Technology, Innovation and Communications of Brazil (MCTIC) established an advisory committee and strategic plan to provide coordinated and quick responses to emerging viruses. This ""Virus-MCTIC Network"" coordinates the efforts of research laboratories with a view to identifying complementarities of infrastructure and activities in the ongoing research on Covid-19, influenza and others. The objectives of the network are the integration of scientific research and development efforts in the area of emerging viruses; definition of research priorities; coordination of ongoing R,D&I initiatives related to emerging viruses; and development of technologies to assist the country in facing those challenges. Researchers and representatives of MCTIC, the Ministry of Health and development agencies participate in the initiative.  

As an example, within this network, the National Center for Research in Energy and Materials (CNPEM) is already employing tools like computational biology and AI to evaluate the effectiveness of about 2 thousand existing drugs against Covid-19. Computational data tests use atomic structure data and the behavior of Covid-19 proteins to examine the interaction of molecules of available medications with these target proteins, and to pre-select those that show promise in interfering with the infection. Selected molecules will then be tested in vitro to verify its effectiveness in eliminating the virus, which will allow the new use of already available medications. 

The emergency release of R$ 3.4 billion (around USD 700 million) to be used in initiatives to fight the pandemic has recently been approved by the Federal government. The funds will be allocated to the Ministry of Science, Technology, Innovation and Communications; Ministry of Foreign Affairs; Ministry of Defense; and Ministry of Citizenship.From that amount, R$ 100 million (around USD 20 million) will be directed to STI measures, from the National Scientific and Technological Development Fund (FNDCT), to be applied in Research Networks, National Institutes of Science and Technology (INCT) and public calls via the Brazilian National Council for Scientific and Technological Development (CNPq) and the Funding for Studies and Projects Agency (Finep) 

The funds will be used for emergency support of projects (grants) within the scope of the priorities defined by the Virus-MCTIC Network, including: - Development of diagnostic kits; - Development of vaccines; - Use of advanced technologies for rapid selection of possible drugs; - Large-scale sequencing and monitoring of mutations in SARS-Cov 2 (COVID-19) samples; - Structuring a virus sample bank for scientific studies to understand the disease. 

The State National Postal Service Company (Correios) is acting as the logistics partner for the Virus-MCTIC Network, being responsible for collecting viral material (new coronavirus and influenza) from selected laboratories and delivering them to other labs (in-kind contribution). These are being used in studies on contagion, proliferation of viruses and vaccines for diseases. Scientists working on the matter now have priority in receiving and sending research material, since time is crucial for the effectiveness of research with COVID-19. 

A research call for projects has already been launched on the total of R$ 50 million (around USD 10 million) by CNPq. The call is aimed at projects on diagnosis, vaccines, clinical trials and other research related to the virus. Overall priority is given to the development of a) medications and respective pre-clinical and clinical tests; b) vaccines and respective pre-clinical and clinical tests; c) innovation for the production in large scale of ventilators and personal protective equipment (PPE) and their related systems; Research, development and innovation in diagnostic tests are also a priority; monitoring and sequencing the virus genome circulating in the country; telemedicine tools.  

The Ministry of Health has authorized the use of telemedicine to care for patients with coronavirus (March 23rd, 2020). To this end, the MCTIC will carry out: I - direct contracting of projects, studies, technologies and innovations; II - public call (s) for contracting projects, studies, technologies and innovations; and III - coordination between organizations in the science, technology, innovation and communications system. 

MCTIC has also launched 7 orders for technology acquisition on the total amount of R$ 50 million (around USD 10 million). They include development of products for genetic sequencing, clinical trials protocol, the application of AI on inhibiting virus replication, development of test kits and vaccines as well as social projects. 

Another initiative by MCTIC is the launch of the platform IdearuMCTIC (www.mctic.gov.br), aimed at connecting ideas and evaluating the maturity of technological solutions related to the challenges imposed by the pandemic. 

Besides that, funding State agencies such as FAPESP (State of São Paulo), Fundação Araucária (State of Paraná) and FAPERJ (State of Rio de Janeiro), as well as funding federal agencies such as CAPES (Ministry of Education), are releasing funds for research on tackling the challenges caused by the pandemic, such as the development of tests or vaccines, as well as the genomic sequencing of the virus. Other entities like EMBRAPII (Brazilian Industrial Research and Innovation Company), SEBRAE (Brazilian Micro and Small Business Support Agency), and Porto Digital (Science park located at the State of Pernambuco) are taking efforts for innovative solutions to be developed, such as the fabrication of ventilators and of tests for diagnosis of COVID-19. 

The São Paulo Research Foundation (FAPESP) launched a call for research proposals on COVID-19 within the time limit of 24 months, with a view to understanding the virus` epidemiological characteristics, developing tests and therapies, conducting research on clinical procedures, identifying and evaluating innate immune responses and issues related to the social behavior of the affected population. The total amount of the research call is R$ 10 million (around USD 2 million). 

FAPESP and FINEP, under the PIPE/PAPPE Grant Program, launched a call for research projects on the development of technologies for products, services and processes to fight Covid-19. The research call will allow that participants from previous phases of the Grant program (Phase 1 or Phase 2) to commercialize emergency products or services.  

Brazilian Micro and Small Business Support Agency (SEBRAE) will assign R$ 2 million (around USD 400 thousand) to the development of technological solutions by startups and other small and medium-sized enterprises with a view to help the Brazil face Covid-19. The funds will add up to R$ 4 million (around USD 800 thousand) from the Brazilian Industrial Research and Innovation Company (EMBRAPII) and contributions by participating companies and accredited research and innovation centers. Joint resources are expected to reach the total of R$ 10 million (around USD 2 million). The resources may be used for software development, system devices, hardware, medical parts and equipment, and others. 

EMBRAPII has also approved R$ 2.3 million (USD 900 thousand) to the development of mechanical ventilators, that provides oxygen and removes carbon dioxide directly from the blood.  

The National Service for Industrial Training (SENAI), through the ""Innovation Call for Industry"", will select projects that help prevent, diagnose and treat Covid-19. It foresees the destination of R$ 10 million (around USD 2 million) for proposals on solutions against problems caused by the virus, with immediate application and results within 40 days, in the areas of consulting, metrology, testing, analysis, research, development and innovation. Examples of these solutions are the manufacture of mechanical respirators and the development of rapid tests for the detection the disease. 

The National Council of State Foundations of Research Support (CONFAP) released a proposal for Brazilian institutions to join the so-called ""Development of therapy and diagnosis for fighting coronavirus infections"" launched by `Innovative Medicines Initiative`, in cooperation with European Union and the European Federation of Pharmaceutical Industries and Associations (EFPIA). Its objective is to identify new therapeutic agents, early diagnostic systems, and reliable data related to Covid-19. Brazilian partners can participate in a co-financing scheme. The European side plans to disburse EUR 45 million. 

The University of São Paulo (USP) is conducting researches for vaccine development with a quick response against the virus. The work takes advantage of results from previous studies on other types of coronaviruses, which, hopefully, can help in the case of Covid-19. Brazilian research is comparatively safer, as it is based on the creation of a particle similar to coronavirus, the VLP (virus-like particle), equivalent to a hollow virus, without the genetic material and therefore without the transmissibility of the disease.  

The Covid Challenge 19 is an initiative by the Public Persecutor`s Office of the State of Pernambuco (MPPE), the State Health Secretariat of Pernambuco (SES-PE) and Porto Digital. The MPPE and SES-PE offer R$ 1.3 million for innovative and high-impact solutions that can be adopted in a short term, with a view to fighting the virus. The challenge already includes the submission of 543 ideas on 5 areas: a) monitoring the risk groups; b) information flow management; c) monitoring social isolation; d) support for health agents; and e) testing and diagnosis. 
"
Canada|2020-05-08|"A report on Government of Canada's research response to COVID-19 was released on April 23, 2020, which outlines a number of the initiatives below. https://www.canada.ca/en/public-health/services/publications/diseases-conditions/covid-19-government-canada-research-response.html

Rapid Research Response to COVID-19: On February 10, 2020, the Government of Canada launched a Rapid Research Funding Opportunity. 
o Result:  99 research projects ($54.2M over 2 years) funded to provide new evidence on how to address COVID-19 in two broad research areas:
1.Medical countermeasures research (e.g., transmission and zoonotic source of the 2019-nCov, development and evaluation of diagnostic tools for early case detection and surveillance, and development and evaluation of candidate vaccines, among other areas) and 
2.Social and policy countermeasures research (e.g., examining how individuals and communities understand and react to the disease, and developing strategies to combat misinformation, stigma, and fear).

On March 11, 2020, the Government of Canada announced more than $1 billion for a whole-of-government COVID-19 Response Fund which included $100 million to support federal public health measures such as enhanced surveillance, increased testing at the Public Health Authority of Canada's (PHAC) National Microbiology Laboratory (NML) and ongoing support for preparedness in First Nations and Inuit communities.

On March 20, Canada launched its plan to ‘Mobilize Industry’ to fight COVID-19. https://pm.gc.ca/en/news/news-releases/2020/03/20/prime-minister-announces-canadas-plan-mobilize-industry-fight-covid. The plan introduced new measures directly supporting businesses to build domestic capacity, find innovative solutions, and speed procurement of essential supplies. It refocuses Canada’s existing industrial and innovation programs (i.e. Strategic Innovation Fund, Innovation Superclusters and Innovative Solutions Canada) by adding to their mandate a requirement that they prioritize the fight against COVID-19. It also directed support to key Canadian companies that are working on large-scale, late-stage R&D projects aiming, in the immediate term, at producing countermeasures to COVID-19. The National Research Council’s Industrial Research Assistance Program also launched a COVID-19 ‘challenge’ program to address a range of medium-term governmental needs, the most promising of which will be selected for procurement, working with Innovative Solutions Canada. https://nrc.canada.ca/en/research-development/research-collaboration/nrc-covid-19-programs

On March 23, 2020, $275 million was announced as part of the $1 billion investment (from March 11) to support research and large-scale efforts towards countermeasures to combat COVID-19. The funding is facilitating partnerships among various Canadian stakeholders including other government departments, industry and academia to respond to COVID-19 and build Canadian capacity to produce a domestic supply of potential vaccines and treatments. https://pm.gc.ca/en/news/news-releases/2020/03/23/canadas-plan-mobilize-science-fight-covid-19. Funding will be used to advance projects already underway by university researchers and others, including: prioritizing projects under the new Strategic Innovation Fund COVID-19 stream ($192M) for companies including: AbCellera in Vancouver and Medicago in Quebec City. The Government also committed to invest $23M in the University of Saskatchewan’s Vaccine and Infectious Disease Organization - International Vaccine Centre (VIDO-InterVac) ($11M from CFI, $12M from WD) to strengthen research expertise, help develop a vaccine, and expand clinical trials and bio-manufacturing capacity in the facility. The National Research Council will receive $15M to upgrade its Human Health Therapeutics facility in Montreal to develop, test and scale up promising vaccine candidates.  The Government will also support BlueDot, a Toronto-based technology firm, and use its disease analytics platform to support modelling and monitoring of the spread of COVID-19, and to inform government decision-making as the situation evolves.

On March 31, 2020, the Natural Sciences and Engineering Research Council announced it is providing up to $15 million, as part of its Alliance COVID-19 Grants Initiative, to support academic researchers to contribute their expertise and their research results to address challenges and questions raised by the public and not-for-profit sectors, as well as industry in the context of the pandemic. https://www.nserc-crsng.gc.ca/Innovate-Innover/COVID-19/index_eng.asp

In late March, Canada became a participant in ""SOLIDARITY”, the WHO-led international clinical trial to help find an effective treatment for COVID-19. By enrolling patients in multiple countries, the SOLIDARITY trial aims to rapidly discover whether any of the drugs slow disease progression or improve survival. WHO has secured access to all treatments so as to obviate the supply issues that may be associated with other trials. The Canadian arm of the global trial, dubbed CATCO (Canadian Treatments for COVID-19), is being funded by the CIHR, which provided nearly $1 million. https://www.canada.ca/en/health-canada/services/drugs-health-products/covid19-clinical-trials/list-authorized-trials.html https://www.who.int/emergencies/diseases/novel-coronavirus-2019/global-research-on-novel-coronavirus-2019-ncov/solidarity-clinical-trial-for-covid-19-treatments

On April 23, 2020 the Government of Canada announced further investments of $1.1B in new medical countermeasures to better understand COVID-19, and develop the infrastructure needed to fight the virus here in Canada. This includes:
o The establishment of the COVID-19 Immunity Task Force that will establish priorities and oversee the coordination of a series of country-wide blood test surveys that will tell us how widely the virus has spread in Canada and provide reliable estimates of potential immunity and vulnerabilities in Canadian populations.
o $40 million for the Canadian COVID-19 Genomics Network (CanCOGeN), led by Genome Canada, to coordinate a COVID-19 viral and host genome sequencing effort across Canada. This research will help track the virus, its different strains, and how it makes people sick in different ways, providing valuable information to public health authorities and decision-makers as they put in place measures to control the pandemic. The results of this work will be available to researchers globally to support additional research, including Canadian vaccine development efforts.
o $23 million for the Vaccine and Infectious Disease Organization-International Vaccine Centre (VIDO-InterVac) to accelerate development of a vaccine against COVID-19. This funding will support pre-clinical testing and clinical trials of a potential COVID-19 vaccine, essential steps to ensuring that vaccines are effective and safe for human use. 
o $29 million for the National Research Council of Canada to begin the second phase of critical upgrades to its Human Health Therapeutics facility in Montréal. Building on ongoing work to ready the facility for the production of vaccines for clinical trials, this funding will support operations to maintain the facility, as well as provide infrastructure to prepare vials for individual doses as soon as a vaccine becomes available.
o $600 million, through the Strategic Innovation Fund, over two years to support COVID-19 vaccine and therapy clinical trials led by the private sector, and Canadian biomanufacturing opportunities.
o $10 million for a Canadian data monitoring initiative so we can coordinate and share pandemic-related data across the country to enhance Canada’s response to COVID-19.
o $10.3 million over two years, and $5 million ongoing, to support the Canadian Immunization Research Network in conducting vaccine-related research and clinical trials, and to enhance Canada’s capacity to monitor vaccine safety and effectiveness.
o $114.9 million through the Canadian Institutes of Health Research for research projects that will accelerate the development, testing, and implementation of medical and social countermeasures to mitigate the rapid spread of COVID-19, as well as its social and health impacts.
o Separately, the Government of Canada is providing over $675,000 through the Stem Cell Network to support two new research projects and one clinical trial. The clinical trial will evaluate the safety of a potential cell therapy to reduce the impacts and severity of acute respiratory distress associated with COVID-19, and the two projects will generate critical information about how cells in the airway and brain are affected by the virus.
https://pm.gc.ca/en/news/news-releases/2020/04/23/prime-minister-announces-new-support-covid-19-medical-research-and
"
Chile|2020-04-22|"The Ministry of Science, Technology, Knowledge e Innovation together with CORFO and the support of the Government Laboratory, launched two calls of Covid-19 Innovation Challenges. 
The first one is focused on generating rapid implementation solutions for the local demand of personal health protection elements related to possible contagion by droplets and personal contact (mask, gloves, health clothing, etc). This call will bring a CL$90 million (US$104.000) grant per project in two stages, during 6 months.
https://www.corfo.cl/sites/cpp/convocatorias/retos_de_innovacion_elementos_de_proteccion_covid19 

The second one calls entrepreneurs, companies, universities and technology centers to register their developments in diagnostic technologies for COVID19 as well as other viral pathogens that affect human health. These technologies could cover the entire chain from sampling, extraction supplies, reagents, others, to diagnosis and its results. This registration does not involve financing.
https://www.corfo.cl/sites/cpp/convocatorias/retos_de_innovacion_covid19 
"
Colombia|2020-03-28|"● Mapping molecular biology laboratories in Colombian Universities:

The Ministry of Science, Technology and Innovation is leading the initiative for mapping molecular biology laboratories in Colombian universities through a survey designed by the academic sector. This instrument was a task requested by the Ministry of Science, Technology and Innovation, the Ministry of National Education and the National Institute of Health of Colombia, with the objective of mapping the capacities of the laboratories in the universities of Colombia to support the molecular diagnosis of COVID-19 from the identification of the genetic markers for SARS-CoV-2.

This information will be an essential input to know which laboratories have BCL-2 biosafety standards and have documented and verified procedures for quality assurance, sample traceability and validity of results. Furthermore, the results of the survey will detect if these laboratories have methodological control and endorsement of the tests and service qualification. It is important to clarify that the survey is still in the process of completion by the universities and other entities, therefore the results are not conclusive yet.

● Program: Strengthening and provision of equipment, infrastructure and medical supplies for early detection and care of patients affected by Coronavirus in Colombia ""Covid-19 Colombia""

This project aims to increase the conditions of care for laboratories in frontier areas and vulnerable territories in the departments of Amazonas, Cauca, Chocó, Guajira, Magdalena, Nariño, San Andrés and Vichada in the context of the campaign against COVID-19. The total budget for the project is 19,5 million dollars, with the Ministry of Science, Technology and Innovation of Colombia contributing 6,5 million dollars and seeking to leverage 13 million dollars. This project arises from the profound imbalance existing between regions in Colombia, where social gaps highlight the need to improve public health equipment and capacities in the border areas and other areas with high levels of vulnerability.

This objective will be achieved by strengthening the provision of equipment, infrastructure and medical supplies to laboratories and research centers for the early detection and care of patients possibly affected by COVID-19. The following 3 results are expected:

i) Provision of equipment for laboratories and medical staff for the testing of COVID-19.
ii) To design a strategy for the Social Appropriation and Dissemination of Knowledge about COVID-19.
iii) Support for research centers, universities and companies in R&D and innovation projects against COVID-19.

"
Costa Rica|2020-05-05|"The government has opened a call for non-refundable funds to offer training, technical assistance and specialized support to SMEs in the areas of electronic commerce, innovation management, digital transformation, operational excellence and productive transformation towards the bioeconomy, with the aim of helping SMEs to optimize, reorient or complement their productive activities, so that they have better tools to cope with and overcome the economic situation owing to the COVID-19 emergency. 

Also, the Ministry of Science, Technology and Communications has enabled 791 million colones to finance actions in innovation, science and technology in order to fight COVID-19. The first call opened on April 16 and is part of the Innovation and Human Capital for Competitiveness Program (PINN), with the support of the Inter-American Development Bank (IDB). These funds apply for innovation and technology transfer projects to support the health emergency, with an investment of up to ₵712 million. The maximum amount to be awarded per project will be ₵142,000,000 and the maximum execution period will be 12 months.

Meanwhile, the Incentive Fund will open on May 15 a call for up to ₵79 million to support research on issues related to COVID-19.

The Clodomiro Picado Institute obtained financing of ₵35 million from CONICIT to start the development of a possible treatment against COVID-19.

The Biotechnology Nacional Research Center (CENIBIOT in Spanish) is working on the development of a low cost Covid-19 detection protocol, based on PCR (polymer chain reaction), in conjunction with the University of Costa Rica, the Technological Institute of Costa Rica and Inciensa Research Center. 

Further information on the call can be found at the link: https://micit.go.cr/12-proyectos-innovacion-y-transferencia-tecnologia-concurso-1-2-1-20-2
"
Czech Republic|2020-05-18|"The Czech Science Foundation (hereinafter referred to as „GACR“) is the only institution in the Czech Republic that provides public funding exclusively for basic research projects (https://gacr.cz/en/). GACR also supports bilateral cooperation with foreign agencies on the Lead Agency principle approach. 
• GACR is engaged in the Austrian joint call ""Urgent Funding SARS-CoV-2"" announced by the Austrian Science Foundation (FWF), https://gacr.cz/vyhlaseni-vyzvy-urgent-funding-sars-cov-2/. The GACR’s budgetary allocation for the call is approximately 3 million EUR.
• GACR is also engaged in the Swiss SNSF Covid-19 international call (https://gacr.cz/vyhlasujeme-vyzvu-nrp-78-covid-19/) with the 1.5 million EUR approximate allocation.

The Technology Agency of the Czech Republic (hereinafter referred to as „TACR“) supports applied research, experimental development and innovation (https://www.tacr.cz/en/). TACR permits to its running projects to enlarge their scope and ask for additional financial support for activities related to COVID-19 (i.e. top-up funding), https://www.tacr.cz/aktivity-na-podporu-vavai-covid-19/. New calls focused on addressing the Covid-19 topics have been launched by TACR too with the following budgetary allocations:
• Approx. 3.7 million EUR for the projects financed under the “GAMA” programme.
• Approx. 3.7 million EUR for the projects financed under the “ETA” programme.
• Approx. 3.7 million EUR for the projects financed under the “TREND” programme. 
(The recent currency rate used above is 27 CZK / EUR.)

The Ministry of Education, Youth and Sports of the Czech Republic (hereinafter referred to as “MEYS”) financially supports the large research infrastructures (https://www.vyzkumne-infrastruktury.cz/en/). The Czech Republic is a Member State of numerous international research infrastructures and is engaged in the efforts that the research community is developing in response to the Covid-19 pandemic.  An overview of related activities in response to the Covid-19 epidemic can be fund at https://www.vyzkumne-infrastruktury.cz/en/2020/04/czechia-as-a-member-of-international-research-infrastructures-in-response-to-sars-cov-2-covid-19/.

The Ministry of Industry and Trade of the Czech Republic (hereinafter referred to as „MIT“) has announced several initiatives for projects to support fight against the coronavirus epidemic:
• MIT calls for projects through its program „The Country for the Future“. The contest is thematically focused on the introduction of new solutions through innovation process in small and medium-sized enterprises. The amount of the subsidy can reach up to 25 million CZK/project (approx. 1 million EUR).  In total approx. 11.1 million EUR have been allocated for the projects to be financed under the “Country for the Future” programme. (https://www.mpo.cz/cz/podnikani/podpora-vyzkumu-a-vyvoje/novy-program-na-podporu-inovaci-the-country-for-the-future--246526/)
• MIT announced XII. COVID-19 Call under the Technology Program within the implementation of Operational Programme Entrepreneurship and Innovations for Competitiveness (hereinafter referred to as „OP EIC“). The call is aimed at supporting business activities focusing on manufacturing of medical devices and personal protection or disposal of infectious waste and those with the fight against the further spread of coronavirus infection through the acquisition of new technological equipment. The allocation is set at approx. 11.1 million EUR. (https://www.mpo.cz/cz/podnikani/dotace-a-podpora-podnikani/oppik-2014-2020/vyzvy-op-pik-2020/vyzva-xii--covid-19-programu-podpory-technologie--253993/)
• The MIT has been a long-term support provider for development of state-of-the-art technologies and innovations and has announced a call for applications under the „Czech Rise Up – Smart measures against the COVID-19“OP EIC sub-program. Projects will undergo the Czech version of the hackathon “Hack the Crisis – Czech Rise Up”. It is organized by the CzechInvest agency jointly with the MIT and in cooperation with Poland and Estonia. Approx. 7.4 million EUR is set for the projects to be supported. (https://www.mpo.cz/cz/podnikani/dotace-a-podpora-podnikani/program-czech-rise-up/program-czech-rise-up---chytra-opatreni-proti-covid19--253805/; https://www.mpo.cz/en/) 
• MIT also announced a call „Innovation vouchers COVID-19“ under the OP EIC to promote sharing of knowledge and know-how between businesses and research community, which entrepreneurs can use exclusively for the fight against coronavirus infection. MIT is ready to allocate approx. 2 million EUR. (https://www.mpo.cz/cz/podnikani/dotace-a-podpora-podnikani/oppik-2014-2020/vyzvy-op-pik-2020/vyzva-v--covid-19-programu-podpory-inovacni-vouchery--254025/)

Another iniciative taken by the MIT related to COVID-19 is described under the Q4A. 
"
Denmark|2020-03-28|"The Danish government has funded research projects, which can help to create new knowledge and new solutions in the fight against Covid-19. In total DKK 50 million has been granted in a fast track model, where the deans of the four faculties of health sciences, the pro-rector of the Technical University of Denmark (DTU) and the academic director of the Statens Serum Institute (SSI) have been asked to submit proposals for Covid-19 related research projects from the researchers at their own institutions.
The whole process took about one week, from call for proposals, to relevant research projects being identified, and funding granted. 
"
